Points,Data
-1.78E-15,-0.984301933
0.027777,-0.988254375
0.055554,-0.992826284
0.083331,-0.997104222
0.111108,-1.000174876
0.138885,-1.001453059
0.166662,-1.001394079
0.194439,-1.000659004
0.222216,-0.999908379
0.249993,-0.999591077
0.27777,-0.999620695
0.305547,-0.999827505
0.333324,-1.000042182
0.361101,-1.000152489
0.388878,-1.000162192
0.416655,-1.000089126
0.444432,-0.999951532
0.472209,-0.999796312
0.499986,-0.99971747
0.527763,-0.99981339
0.55554,-1.000177442
0.583317,-1.000695195
0.611094,-1.000974617
0.638871,-1.000604333
0.666648,-0.999189834
0.694425,-0.996791437
0.722202,-0.993964853
0.749979,-0.991290798
0.777756,-0.989327525
0.805533,-0.988211631
0.83331,-0.987704906
0.861087,-0.987556093
0.888864,-0.987520187
0.916641,-0.987437757
0.944418,-0.987211366
0.972195,-0.986744963
0.999972,-0.985951201
1.027749,-0.984832305
1.055526,-0.983443219
1.083303,-0.981839562
1.11108,-0.980086419
1.138857,-0.978323817
1.166634,-0.976727418
1.194411,-0.975473106
1.222188,-0.974697991
1.249965,-0.974299544
1.277742,-0.974083773
1.305519,-0.973856507
1.333296,-0.973458901
1.361073,-0.972904199
1.38885,-0.972257961
1.416627,-0.971585761
1.444404,-0.970942908
1.472181,-0.97034515
1.499958,-0.969798705
1.527735,-0.96930979
1.555512,-0.968879809
1.583289,-0.968495454
1.611066,-0.968140616
1.638843,-0.967799186
1.66662,-0.967455051
1.694397,-0.967092093
1.722174,-0.966694193
1.749951,-0.966245286
1.777728,-0.965736298
1.805505,-0.96517188
1.833282,-0.964558281
1.861059,-0.963902086
1.888836,-0.963231435
1.916613,-0.962608742
1.94439,-0.962099468
1.972167,-0.961767078
1.999944,-0.961598157
2.027721,-0.961479881
2.055498,-0.961292828
2.083275,-0.960921886
2.111052,-0.9603612
2.138829,-0.959720137
2.166606,-0.959113566
2.194383,-0.958649659
2.22216,-0.958317344
2.249937,-0.958002928
2.277714,-0.95758937
2.305491,-0.956970203
