Points,Data
0,0.968531877
0.02777777,0.959797553
0.05555554,0.949565131
0.08333331,0.94033658
0.11111108,0.934613868
0.13888885,0.934615586
0.16666662,0.93966739
0.19444439,0.947402954
0.22222216,0.955434643
0.24999993,0.961415896
0.2777777,0.964537998
0.30555547,0.965956582
0.33333324,0.966955255
0.36111101,0.968817111
0.38888878,0.972294525
0.41666655,0.976606545
0.44444432,0.980696942
0.47222209,0.983509482
0.49999986,0.984159576
0.52777763,0.982980246
0.5555554,0.980830951
0.58333317,0.978573245
0.61111094,0.977039202
0.63888871,0.976431257
0.66666648,0.976347969
0.69444425,0.976363573
0.72222202,0.976053694
0.74999979,0.975227704
0.77777756,0.974189253
0.80555533,0.973304839
0.8333331,0.972940959
0.86111087,0.973375823
0.88888864,0.974441571
0.91666641,0.975829794
0.94444418,0.977232031
0.97222195,0.978359831
0.99999972,0.979195725
1.02777749,0.979917219
1.05555526,0.980706106
1.08333303,0.981742081
1.1111108,0.983074787
1.13888857,0.984549842
1.16666634,0.985995027
1.19444411,0.987238122
1.22222188,0.98816567
1.24999965,0.988877737
1.27777742,0.98952288
1.30555519,0.990249655
1.33333296,0.99118478
1.36111073,0.992255243
1.3888885,0.99328095
1.41666627,0.994080782
1.44444404,0.994479472
1.47222181,0.994484833
1.49999958,0.994319695
1.52777735,0.994219174
1.55555512,0.994418181
1.58333289,0.995044411
1.61111066,0.995943242
1.63888843,0.996914129
1.6666662,0.99775653
1.69444397,0.998303132
1.72222174,0.998599705
1.74999951,0.99877614
1.77777728,0.998962535
1.80555505,0.999281368
1.83333282,0.999713903
1.86111059,1.000116829
1.88888836,1.000342567
1.91666613,1.000244584
1.9444439,0.999801855
1.97222167,0.99923627
1.99999944,0.998797514
2.02777721,0.99873527
2.05555498,0.999224533
2.08333275,1.000097721
2.11111052,1.001089102
2.13888829,1.001932933
2.16666606,1.002384684
2.19444383,1.002454623
2.2222216,1.002321408
2.24999937,1.002166686
2.27777714,1.002170122
2.30555491,1.002412763
2.33333268,1.002833604
2.36111045,1.003360598
2.38888822,1.003921706
2.41666599,1.004470778
2.44444376,1.005047196
2.47222153,1.005707976
2.4999993,1.006510135
2.52777707,1.007498381
2.55555484,1.008616233
2.58333261,1.009757533
2.61111038,1.010815779
2.63888815,1.011688422
2.66666592,1.012377867
2.69444369,1.012999877
2.72222146,1.013675853
2.74999923,1.014526863
2.777777,1.015571586
2.80555477,1.01658266
2.83333254,1.017296517
2.86111031,1.017449592
2.88888808,1.016860828
2.91666585,1.015828228
2.94444362,1.014822254
2.97222139,1.014313598
2.99999916,1.014742553
3.02777693,1.016056617
3.0555547,1.017803545
3.08333247,1.01951956
3.11111024,1.020743509
3.13888801,1.021247747
3.16666578,1.021218756
3.19444355,1.020885529
3.22222132,1.020477058
3.24999909,1.020187295
3.27777686,1.020064218
3.30555463,1.020117802
3.3333324,1.020358022
3.36111017,1.02079224
3.38888794,1.021399852
3.41666571,1.022143286
3.44444348,1.022984735
3.47222125,1.023885864
3.49999902,1.024787014
3.52777679,1.025600297
3.55555456,1.026235887
3.58333233,1.026603995
3.6111101,1.026670835
3.63888787,1.026570943
3.66666564,1.026470352
3.69444341,1.026535092
3.72222118,1.026907521
3.74999895,1.027554639
3.77777672,1.028364693
3.80555449,1.029225553
3.83333226,1.030028549
3.86111003,1.030743623
3.8888878,1.031418815
3.91666557,1.032105521
3.94444334,1.03285493
3.97222111,1.033676751
3.99999888,1.034489626
4.02777665,1.035200093
4.05555442,1.035714693
4.08333219,1.035963094
4.11110996,1.035996712
4.13888773,1.035906881
4.1666655,1.035784959
4.19444327,1.035722154
4.22222104,1.035807571
4.24999881,1.036128743
4.27777658,1.036773165
4.30555435,1.037826146
4.33333212,1.039222917
4.36110989,1.04065458
4.38888766,1.041789838
4.41666543,1.04229739
4.4444432,1.041969144
4.47222097,1.041063227
4.49999874,1.039948024
4.52777651,1.03899192
4.55555428,1.03853197
4.58333205,1.038605173
4.61110982,1.039081623
4.63888759,1.039829616
4.66666536,1.040717946
4.69444313,1.041632162
4.7222209,1.042478203
4.74999867,1.043163237
4.77777644,1.043594514
4.80555421,1.04373246
4.83333198,1.043683101
4.86110975,1.043577156
4.88888752,1.043545348
4.91666529,1.04369789
4.94444306,1.044007815
4.97222083,1.044391869
4.9999986,1.044766629
5.02777637,1.045051909
5.05555414,1.045231181
5.08333191,1.045346089
5.11110968,1.045440418
5.13888745,1.045557672
5.16666522,1.0457029
5.19444299,1.045803908
5.22222076,1.045779253
5.24999853,1.045547496
5.2777763,1.045071236
5.30555407,1.044523469
5.33333184,1.044139944
5.36110961,1.044156423
5.38888738,1.044788094
5.41666515,1.045990309
5.44444292,1.047540415
5.47222069,1.049212289
5.49999846,1.050780956
5.52777623,1.052083854
5.555554,1.053051608
5.58333177,1.053622462
5.61110954,1.053734666
5.63888731,1.053383596
5.66666508,1.052761072
5.69444285,1.052101104
5.72222062,1.051637705
5.74999839,1.051574787
5.77777616,1.051857561
5.80555393,1.052299387
5.8333317,1.052712581
5.86110947,1.052914985
5.88888724,1.052881572
5.91666501,1.052763127
5.94444278,1.052719722
5.97222055,1.052911223
5.99999832,1.05342148
6.02777609,1.054144494
6.05555386,1.054945123
6.08333163,1.055688224
6.1111094,1.056245214
6.13888717,1.056527235
6.16666494,1.056460297
6.19444271,1.055970439
6.22222048,1.054995967
6.24999825,1.053685494
6.27777602,1.052364385
6.30555379,1.051363497
6.33333156,1.051011248
6.36110933,1.05139133
6.3888871,1.052137156
6.41666487,1.05283373
6.44444264,1.053066057
6.47222041,1.05258637
6.49999818,1.051872368
6.52777595,1.051598431
6.55555372,1.052438944
6.58333149,1.054987377
6.61110926,1.058928285
6.63888703,1.063374526
6.6666648,1.067430072
6.69444257,1.070211092
6.72222034,1.071371455
6.74999811,1.071302569
6.77777588,1.070449265
6.80555365,1.069256345
6.83333142,1.068099639
6.86110919,1.067139269
6.88888696,1.066493304
6.91666473,1.066279811
6.9444425,1.066611634
6.97222027,1.067561186
6.99999804,1.069182023
7.02777581,1.071527594
7.05555358,1.074641139
7.08333135,1.078318458
7.11110912,1.082100686
7.13888689,1.085517303
7.16666466,1.088098762
7.19444243,1.089603259
7.2222202,1.090308415
7.24999797,1.090563911
7.27777574,1.090719432
7.30555351,1.091076833
7.33333128,1.091675599
7.36110905,1.092465713
7.38888682,1.093397084
7.41666459,1.094416072
7.44444236,1.095415669
7.47222013,1.096247632
7.4999979,1.096762646
7.52777567,1.096812929
7.55555344,1.096367556
7.58333121,1.09559273
7.61110898,1.094673629
7.63888675,1.093795435
7.66666452,1.093129228
7.69444229,1.092790541
7.72222006,1.092881227
7.74999783,1.093503137
7.7777756,1.094730693
7.80555337,1.096363115
7.83333114,1.098040822
7.86110891,1.099402313
7.88888668,1.100095154
7.91666445,1.100096759
7.94444222,1.099800386
7.97221999,1.099625846
7.99999776,1.099992747
8.02777553,1.101133837
8.0555533,1.102749784
8.08333107,1.104447181
8.11110884,1.105832619
8.13888661,1.10656947
8.16666438,1.106717572
8.19444215,1.106505779
8.22221992,1.106163572
8.24999769,1.105913553
